role_id,skill_id,importance
1,1,10
1,2,10
1,3,7
1,4,9
1,5,8
1,6,9
1,7,10
1,8,5
1,9,5
1,18,7
1,19,6
1,20,5
1,21,9

2,1,5
2,2,9
2,5,10
2,6,9
2,7,8
2,20,8
2,21,10
2,8,4
2,9,4

3,1,10
3,2,9
3,3,9
3,4,10
3,7,10
3,10,10
3,11,10
3,12,8
3,18,7
3,19,7
3,16,6

4,1,10
4,2,8
4,3,8
4,4,8
4,8,8
4,10,10
4,11,10
4,12,9
4,13,10
4,14,9
4,15,9
4,23,9
4,28,6
4,29,8
4,30,8

5,1,10
5,2,10
5,3,7
5,4,8
5,8,8
5,9,5
5,22,9
5,23,8
5,24,10
5,25,10
5,26,10
5,27,10

6,1,10
6,2,7
6,3,8
6,4,8
6,8,7
6,10,10
6,11,9
6,13,10
6,14,9
6,15,9
6,16,9
6,17,8
6,22,8
6,23,8
6,29,9
6,30,9

7,2,10
7,5,10
7,6,10
7,7,8
7,9,6
7,20,10
7,21,10
7,1,5
7,18,6

8,1,10
8,2,7
8,8,9
8,9,8
8,28,8
8,29,9
8,30,9
8,23,7
